number,description,character,blog_url_character
32,space,,-
33,,!,
34,,"""",
35,,#,
36,,$,
37,,%,
38,,&,
39,,',
40,,(,
41,,),
42,,*,
43,,+,
44,,",",","
45,,-,-
46,,.,.
47,,/,
48,,0,0
49,,1,1
50,,2,2
51,,3,3
52,,4,4
53,,5,5
54,,6,6
55,,7,7
56,,8,8
57,,9,9
58,,:,
59,,;,
60,,<,
61,,=,
62,,>,
63,,?,
64,,@,
65,,A,a
66,,B,b
67,,C,c
68,,D,d
69,,E,e
70,,F,f
71,,G,g
72,,H,h
73,,I,i
74,,J,j
75,,K,k
76,,L,l
77,,M,m
78,,N,n
79,,O,o
80,,P,p
81,,Q,q
82,,R,r
83,,S,s
84,,T,t
85,,U,u
86,,V,v
87,,W,w
88,,X,x
89,,Y,y
90,,Z,z
91,,[,
92,,\,
93,,],
94,,^,
95,,_,_
96,,`,
97,,a,a
98,,b,b
99,,c,c
100,,d,d
101,,e,e
102,,f,f
103,,g,g
104,,h,h
105,,i,i
106,,j,j
107,,k,k
108,,l,l
109,,m,m
110,,n,n
111,,o,o
112,,p,p
113,,q,q
114,,r,r
115,,s,s
116,,t,t
117,,u,u
118,,v,v
119,,w,w
120,,x,x
121,,y,y
122,,z,z
123,,{,
124,,|,
125,,},
126,,~,
127,,,
128,,,
129,,,
130,,,
131,,,
132,,,
133,,,
134,,,
135,,,
136,,,
137,,,
138,,,
139,,,
140,,,
141,,,
142,,,
143,,,
144,,,
145,,,
146,,,
147,,,
148,,,
149,,,
150,,,
151,,,
152,,,
153,,,
154,,,
155,,,
156,,,
157,,,
158,,,
159,,,
160,,,
161,,,
162,,,
163,,,
164,,,
165,,,
166,,,
167,,,
168,,,
169,,,
170,,,
171,,,
172,,,
173,,,
174,,,
175,,,
176,,,
177,,,
178,,,
179,,,
180,,,
181,,,
182,,,
183,,,
184,,,
185,,,
186,,,
187,,,
188,,,
189,,,
190,,,
191,,,
192,,À,a
193,,Á,a
194,,Â,a
195,,Ã,a
196,,Ä,ae
197,,Å,aa
198,,Æ,ae
199,,Ç,c
200,,È,e
201,,É,e
202,,Ê,e
203,,Ë,e
204,,Ì,i
205,,Í,i
206,,Î,i
207,,Ï,i
208,,Ð,d
209,,Ñ,nn
210,,Ò,o
211,,Ó,o
212,,Ô,o
213,,{,
214,,Ö,oe
215,,×,
216,,Ø,o
217,,Ù,u
218,,Ú,u
219,,Û,u
220,,Ü,ue
221,,Ý,y
222,,Þ,y
223,,ß,ss
224,,à,a
225,,á,a
226,,â,a
227,,ã,a
228,,ä,ae
229,,å,aa
230,,æ,ae
231,,ç,c
232,,è,e
233,,é,e
234,,ê,e
235,,ë,e
236,,ì,i
237,,í,i
238,,î,i
239,,ï,i
240,,ð,d
241,,ñ,nn
242,,ò,o
243,,ó,o
244,,ô,o
245,,õ,o
246,,ö,oe
247,,÷,
248,,ø,o
249,,ù,u
250,,ú,u
251,,û,u
252,,ü,ue
253,,ý,y
254,,þ,y
255,,ÿ,y
